model,unit_id,horizon,n,mean_residual,std_residual,shapiro_stat,shapiro_p,ljung_box_p
LightGBM,705091,3,2208,0.1543193711959329,0.8008710699241813,0.9442633294512726,4.167489296168691e-28,1.0468507358146282e-141
LightGBM,705091,4,2208,0.20394086141952392,0.867374729383097,0.9472380181333147,1.9308585198323187e-27,6.7125266871196635e-258
LightGBM,705091,12,2208,0.3957008901048927,0.9962989530130959,0.9301989499057426,6.305234278819579e-31,0.0
LightGBM,705091,24,2208,0.42896434734025274,1.0021134523311295,0.9349017450350103,4.8881019630303155e-30,0.0
LightGBM,705091,48,2208,0.434462984829483,1.005428088370711,0.9226373461983175,2.90530886838942e-32,0.0
LightGBM,705091,72,2208,0.4326330858718041,1.0400867303051577,0.9193178559632982,8.104313151449406e-33,0.0
LightGBM,705092,1,2208,0.07315711898305327,0.39527772097933317,0.8100176692507354,3.340366251134056e-45,0.010489439369810557
LightGBM,705092,2,2208,0.12180997547413067,0.6666889912987781,0.946935640207321,1.647275031679209e-27,4.698985626960009e-27
LightGBM,705092,3,2208,0.1662065424658442,0.7967383439146806,0.9599256280723893,3.1456794103945533e-24,1.0405286199011801e-135
LightGBM,705092,4,2208,0.18853491041720444,0.8635271880528005,0.9723052064586284,3.0104886022568693e-20,3.125041260512223e-243
LightGBM,705092,12,2208,0.41290858345157305,0.9822581773867652,0.9551512475163753,1.6179279028870252e-25,0.0
LightGBM,705092,24,2208,0.470970463652429,0.9862719581391651,0.9467816570132633,1.5196807266920573e-27,0.0
LightGBM,705092,48,2208,0.5121919959199197,0.9832907254004102,0.9255446743597204,9.213060747296565e-32,0.0
LightGBM,705092,72,2208,0.5086773907530652,0.9978522718100977,0.9224773308809475,2.729220919813834e-32,0.0
LightGBM,21334825,1,2208,0.04132346239643881,0.357396511212204,0.7700081068291961,3.007648596227057e-48,0.13292644949951246
LightGBM,21334825,2,2208,0.06532884510410489,0.5888272241677517,0.923502620512701,4.081253332086612e-32,1.6704720457205104e-45
LightGBM,21334825,3,2208,0.08006295118930465,0.7060410322436209,0.9451869775518655,6.662590823995792e-28,3.3168882507889563e-144
LightGBM,21334825,4,2208,0.09313148512138468,0.7754374556261202,0.9460520729444992,1.0396908909010227e-27,8.932768889066413e-231
LightGBM,21334825,12,2208,0.16981284588030543,0.9107480696084121,0.9217809133951175,2.0814771901256428e-32,0.0
LightGBM,21334825,24,2208,0.17039463616329875,0.9483305719781698,0.8798708564605978,2.564973871579713e-38,0.0
LightGBM,21334825,48,2208,0.2306289263931538,0.9298485792224016,0.8962144164524015,3.0296535419698457e-36,0.0
LightGBM,21334825,72,2208,0.23000320346523437,0.9245907426112333,0.9094633918798132,2.303466759386913e-34,0.0
LightGBM,21336305,1,2208,0.03941400348011894,0.3243089793322392,0.7486288469807252,1.0633535819472882e-49,0.7302679545764057
LightGBM,21336305,2,2208,0.0923238036541996,0.5410398699458098,0.9379923815326416,2.0012150984301265e-29,3.239357622669364e-33
LightGBM,21336305,3,2208,0.12196643991753539,0.6406229389783571,0.9461398519904728,1.088044793324312e-27,2.948492292933792e-147
LightGBM,21336305,4,2208,0.15129399633559376,0.6945011975270999,0.9530378476378313,4.693571048497024e-26,3.985405202320154e-244
LightGBM,21336305,12,2208,0.2174527023775829,0.7975945264067856,0.9046640064688292,4.5409030360069395e-35,0.0
LightGBM,21336305,24,2208,0.24890419134479894,0.8233847600695599,0.8887709764601939,3.2164611420523717e-37,0.0
LightGBM,21336305,48,2208,0.24644660438242932,0.8319377800253677,0.8925672359759741,9.94019171303136e-37,0.0
LightGBM,21336305,72,2208,0.2398559538860409,0.8222988839945482,0.9147562362642506,1.4975272077599833e-33,0.0
LightGBM,97635816,1,2208,0.0017390220833566517,0.3109878957674233,0.7488638834769588,1.1017167268650686e-49,2.2962590433781857e-48
LightGBM,97635816,2,2208,0.021036822463897688,0.5092462654272181,0.9200901041376288,1.0866358935965901e-32,5.282229695938439e-98
LightGBM,97635816,3,2208,0.03939581742122933,0.612941863950845,0.940861248805875,7.781815757465985e-29,1.1375541076975163e-206
LightGBM,97635816,4,2208,0.04267256208933789,0.6661810332140976,0.9525310183596443,3.510383516630658e-26,0.0
LightGBM,97635816,12,2208,0.13843632178120024,0.799659300107148,0.901857746827412,1.810337307187956e-35,0.0
LightGBM,97635816,24,2208,0.14313121556665023,0.8086543961430211,0.8698219408728407,1.7581984813432495e-39,0.0
LightGBM,97635816,48,2208,0.13510971929403287,0.8185000730511284,0.8798298110709146,2.536130277570967e-38,0.0
LightGBM,97635816,72,2208,0.13906430720840146,0.8279307681717432,0.856892465517671,7.074577634777883e-41,0.0
LightGBM,1775257343,1,2208,0.06402530972805391,0.48497556429137195,0.8913413958440315,6.881295559480206e-37,0.12558988853038347
LightGBM,1775257343,2,2208,0.1431114568084305,0.7863229204045632,0.9592200930432586,1.9962644535236757e-24,1.550729651537239e-17
LightGBM,1775257343,3,2208,0.19873812006487526,0.9102291758327792,0.9687085240289569,1.6048135059920908e-21,1.3202974235932934e-136
LightGBM,1775257343,4,2208,0.25147883174060043,0.9931407066983621,0.9727650168668649,4.4664472707587874e-20,4.656013924140496e-216
LightGBM,1775257343,12,2208,0.48612567748671404,1.1489902715060347,0.9619717458642656,1.2179770008251018e-23,0.0
LightGBM,1775257343,24,2208,0.6023334588833653,1.1468080549792288,0.9559025801682256,2.538993376897925e-25,0.0
LightGBM,1775257343,48,2208,0.799446744086546,1.1718365948575267,0.9561348203215989,2.9218967982883636e-25,0.0
LightGBM,1775257343,72,2208,0.8186436142337318,1.2511006452326947,0.9499515454296983,8.294362468389443e-27,0.0
LightGBM,4452986337,1,2208,0.05269312978748008,0.4646525256318307,0.8333938624705406,3.6019909521155434e-43,0.014658532343574712
LightGBM,4452986337,2,2208,0.11095143409882428,0.752893021662021,0.9537669875753441,7.15837645309166e-26,1.750004983083189e-36
LightGBM,4452986337,3,2208,0.1472149403701191,0.8869272659241676,0.9655127615468542,1.4505980762173293e-22,1.625282789885096e-132
LightGBM,4452986337,4,2208,0.17625068161065005,0.9725372013001244,0.9653136518640506,1.255795247286538e-22,3.459425965850899e-219
LightGBM,4452986337,12,2208,0.38346288929029815,1.1270347375048115,0.9436213891178017,3.0184275297558387e-28,0.0
LightGBM,4452986337,24,2208,0.42947807382142206,1.124785085935986,0.9356387604643975,6.80822582564712e-30,0.0
LightGBM,4452986337,48,2208,0.48093819403513666,1.162857712547022,0.9485292731338756,3.835258662593532e-27,0.0
LightGBM,4452986337,72,2208,0.5005534382258553,1.154404582473829,0.9294546926530218,4.605314435945814e-31,0.0
Prophet,705089,1,2208,0.3878547100335185,1.2654533732750297,0.9817585752895264,3.2923513166248565e-16,0.0
Prophet,705089,2,2208,0.38672868355667006,1.2678656251653768,0.9813210948140452,2.0012543055301888e-16,0.0
Prophet,705089,3,2208,0.3851653058105308,1.2707599425747123,0.9808741317602959,1.213437284713878e-16,0.0
Prophet,705089,4,2208,0.3845239527919173,1.2715008547858706,0.9809458181157452,1.314095187125698e-16,0.0
Prophet,705089,12,2208,0.3886168187934533,1.2680929133251158,0.9803998176382663,7.199037665531675e-17,0.0
Prophet,705089,24,2208,0.3858112878957816,1.2699320803846543,0.9806584543504504,9.559450523922749e-17,0.0
Prophet,705089,48,2208,0.37356393267561483,1.2712545408638465,0.9811406707890356,1.633655814083702e-16,0.0
Prophet,705089,72,2208,0.36342770455396056,1.273397603642987,0.9822439416099502,5.775925033424965e-16,0.0
Prophet,705090,1,2208,6.641236677219258,3.4610668987968802,0.9378862161456012,1.9049223813871738e-29,0.0
Prophet,705090,2,2208,6.644630431296489,3.461307412318413,0.9376984697685733,1.7461159102081475e-29,0.0
Prophet,705090,3,2208,6.648032179351153,3.461314094718682,0.9374961172440572,1.5901080237849885e-29,0.0
Prophet,705090,4,2208,6.651897387252639,3.461643999420137,0.9373836568190579,1.5096660590255031e-29,0.0
Prophet,705090,12,2208,6.680755762936445,3.460057019788002,0.9360745312243105,8.293098641503111e-30,0.0
Prophet,705090,24,2208,6.7129145829295105,3.4686935042170166,0.9343120605343903,3.7576912323068264e-30,0.0
